Timestamp,Open,High,Low,Close,Volume,Close_RollingMean,Close_RollingStd,Close_diff,z_score,anomaly_zscore,anomaly_iqr
2012-01-02,5.23,5.23,5.22,5.22,18.8,5.290333333333334,0.04627379785362541,0.6399999999999997,-0.8664376029524536,False,False
2012-01-03,5.05,5.05,5.05,5.05,38.0,5.035,0.01252583536953354,-0.16999999999999993,-0.8664461853798381,False,False
2012-01-04,6.4,6.4,6.4,6.4,28.5,6.414,0.042879140495680305,1.3500000000000005,-0.8663780308094331,False,False
2012-01-05,7.0,7.0,7.0,7.0,6.88571428,6.940333333333332,0.049513727342999116,0.5999999999999996,-0.8663477398892532,False,False
2012-01-06,8.85,8.85,8.85,8.85,8.25,8.777,0.07302101728566676,1.8499999999999996,-0.8662543428853652,False,False
2012-01-07,10.88,10.88,10.88,10.88,6.7,10.767333333333335,0.042420988079623204,2.030000000000001,-0.8661518586054229,False,False
2012-01-08,10.56,10.56,10.56,10.56,114.5797449,10.705666666666668,0.28803356285902015,-0.3200000000000003,-0.8661680137628521,False,False
2012-01-09,11.03,11.03,11.03,11.03,9.0,10.979333333333333,0.13385358272788195,0.46999999999999886,-0.866144285875378,False,False
2012-01-10,10.87,10.87,10.87,10.87,4.37935102,11.015999999999998,0.07044684961440838,-0.16000000000000014,-0.8661523634540926,False,False
2012-01-11,11.82,11.82,11.82,11.82,0.08967851,11.891333333333334,0.06961635426635865,0.9500000000000011,-0.8661044028304744,False,False
2012-01-12,11.0,11.0,11.0,11.0,24.8766191,11.469333333333333,0.3199346197575134,-0.8200000000000003,-0.8661458004213869,False,False
2012-01-13,11.37,11.37,11.37,11.37,59.065195,11.459333333333332,0.09677322703679521,0.3699999999999992,-0.8661271210206094,False,False
2012-01-14,11.04,11.04,11.04,11.04,14.58967391,10.972000000000001,0.07014271166686059,-0.33000000000000007,-0.8661437810267082,False,False
2012-01-15,10.88,10.88,10.88,10.88,0.61632905,10.892666666666665,0.03279332704771691,-0.15999999999999837,-0.8661518586054229,False,False
2012-01-16,12.06,12.06,12.06,12.06,4.38015762,12.145000000000001,0.03287908883200874,1.1799999999999997,-0.8660922864624023,False,False
2012-01-17,13.55,13.55,13.55,13.55,80.64797048,13.407333333333332,0.09328980922433584,1.4900000000000002,-0.8660170640106222,False,False
2012-01-18,13.04,13.04,13.02,13.02,17.5744,13.088333333333333,0.13357377745053992,-0.5300000000000011,-0.8660438209901145,False,False
2012-01-19,13.1,13.1,13.1,13.1,3.0389016,13.119,0.04520833001620437,0.08000000000000007,-0.8660397822007572,False,False
2012-01-20,14.0,14.0,14.0,14.0,9.053768,13.980333333333332,0.024842029628619113,0.9000000000000004,-0.8659943458204872,False,False
2012-01-21,17.33,17.33,17.33,17.33,0.35389,17.480666666666664,0.07642590882032974,3.3299999999999983,-0.8658262312134885,False,False
2012-01-22,19.33,19.33,19.33,19.33,58.0,19.04733333333333,0.16036452727280226,2.0,-0.8657252614795553,False,False
2012-01-23,20.3,20.3,20.3,20.3,20.0,20.214333333333332,0.06921646869095953,0.9700000000000024,-0.8656762911585979,False,False
2012-01-24,25.8,25.8,25.8,25.8,25.05697674,25.644,0.09640432095527715,5.5,-0.8653986243902817,False,False
2012-01-25,26.64,26.64,26.64,26.64,58.2,26.903333333333332,0.13018112932299145,0.8399999999999999,-0.8653562171020298,False,False
2012-01-26,31.18,31.18,31.18,31.18,1.0,31.05933333333333,0.06324191824506863,4.539999999999999,-0.8651270158060015,False,False
2012-01-27,31.46,31.86,31.46,31.86,2.64179373,31.957,0.22587988872585027,0.6799999999999997,-0.8650926860964643,False,False
2012-01-28,36.83,36.83,36.83,36.83,0.0,36.717666666666666,0.16230417021059076,4.969999999999999,-0.8648417763076404,False,False
2012-01-29,40.54,40.54,40.52,40.52,1.0440554,42.92266666666667,1.1010181286080474,3.690000000000005,-0.8646554871485338,False,False
